"","n","p","sd"
"872",2,15,0.500351635146693
"873",3,15,0.670089621246675
"874",4,15,0.726231409608196
"875",5,15,0.970675566436274
"876",6,15,1.02113347209814
"877",7,15,1.07356308079321
"878",8,15,1.1507043942799
"879",9,15,1.32003311973069
"880",10,15,1.39182826873442
"881",11,15,1.48843953901612
"882",12,15,1.60009421833144
"883",13,15,1.51322478377509
"884",14,15,1.44110510359168
"885",15,15,1.7432641363965
"886",16,15,1.62269550548388
"887",17,15,1.70071666832828
"888",18,15,1.85920904996111
"889",19,15,1.87632030566405
"890",20,15,1.97328896686057
"891",21,15,1.96409990637214
"892",22,15,2.19675411532927
"893",23,15,2.13945350651344
"894",24,15,2.32813251448991
"895",25,15,2.18854372085422
"896",26,15,2.43547896499738
"897",27,15,2.52484638071926
"898",28,15,2.41598009076958
"899",29,15,2.47071287497207
"900",30,15,2.50539117197756
"901",31,15,2.43961752501119
"902",32,15,2.47550817076365
"903",33,15,2.66182768660292
"904",34,15,2.53694312155595
"905",35,15,2.84426161254604
"906",36,15,2.60262237293089
"907",37,15,2.73551002107046
"908",38,15,2.63259430292992
"909",39,15,2.75074681499425
"910",40,15,2.90262400779937
"911",41,15,2.66507280675906
"912",42,15,3.11162110959034
"913",43,15,3.14943960876316
"914",44,15,3.00177501927304
"915",45,15,3.43888128940402
"916",46,15,3.09705241614373
"917",47,15,3.35844768520687
"918",48,15,3.0446881003053
"919",49,15,3.20450374022336
"920",50,15,3.38031175155317
"921",55,15,3.29439527091165
"922",60,15,3.25495756404267
"923",65,15,3.70489286697725
"924",70,15,4.1805694353784
"925",75,15,4.0952847012045
"926",80,15,3.99068954130428
"927",85,15,4.500025125558
"928",90,15,4.23766018211648
"929",95,15,4.86624100384863
"930",100,15,4.47244775762933
"931",120,15,5.11546084908217
"932",140,15,5.09005336082839
"933",160,15,5.7052827498978
"934",180,15,6.56315281510128
"935",200,15,6.44770030289714
"936",300,15,8.66738674369756
"937",400,15,9.19986890883226
"938",500,15,10.6832701597653
